countyName,metro,IAN_GRAD_2003,IAN_TOTL_2003,API_GRAD_2003,API_TOTL_2003,BLA_GRAD_2003,BLA_TOTL_2003,HIS_GRAD_2003,HIS_TOTL_2003,WHI_GRAD_2003,WHI_TOTL_2003,IAN_GRAD_2004,IAN_TOTL_2004,API_GRAD_2004,API_TOTL_2004,BLA_GRAD_2004,BLA_TOTL_2004,HIS_GRAD_2004,HIS_TOTL_2004,WHI_GRAD_2004,WHI_TOTL_2004,IAN_GRAD_2005,IAN_TOTL_2005,API_GRAD_2005,API_TOTL_2005,BLA_GRAD_2005,BLA_TOTL_2005,HIS_GRAD_2005,HIS_TOTL_2005,WHI_GRAD_2005,WHI_TOTL_2005,IAN_GRAD_2006,IAN_TOTL_2006,API_GRAD_2006,API_TOTL_2006,BLA_GRAD_2006,BLA_TOTL_2006,HIS_GRAD_2006,HIS_TOTL_2006,WHI_GRAD_2006,WHI_TOTL_2006,IAN_GRAD_2007,IAN_TOTL_2007,API_GRAD_2007,API_TOTL_2007,BLA_GRAD_2007,BLA_TOTL_2007,HIS_GRAD_2007,HIS_TOTL_2007,WHI_GRAD_2007,WHI_TOTL_2007,IAN_GRAD_2008,IAN_TOTL_2008,API_GRAD_2008,API_TOTL_2008,BLA_GRAD_2008,BLA_TOTL_2008,HIS_GRAD_2008,HIS_TOTL_2008,WHI_GRAD_2008,WHI_TOTL_2008,IAN_GRAD_2009,IAN_TOTL_2009,API_GRAD_2009,API_TOTL_2009,BLA_GRAD_2009,BLA_TOTL_2009,HIS_GRAD_2009,HIS_TOTL_2009,WHI_GRAD_2009,WHI_TOTL_2009,IAN_GRAD_2010,IAN_TOTL_2010,API_GRAD_2010,API_TOTL_2010,BLA_GRAD_2010,BLA_TOTL_2010,HIS_GRAD_2010,HIS_TOTL_2010,WHI_GRAD_2010,WHI_TOTL_2010,IAN_GRAD_2011,IAN_TOTL_2011,API_GRAD_2011,API_TOTL_2011,BLA_GRAD_2011,BLA_TOTL_2011,HIS_GRAD_2011,HIS_TOTL_2011,WHI_GRAD_2011,WHI_TOTL_2011,IAN_GRAD_2012,IAN_TOTL_2012,API_GRAD_2012,API_TOTL_2012,BLA_GRAD_2012,BLA_TOTL_2012,HIS_GRAD_2012,HIS_TOTL_2012,WHI_GRAD_2012,WHI_TOTL_2012,IAN_GRAD_2013,IAN_TOTL_2013,API_GRAD_2013,API_TOTL_2013,BLA_GRAD_2013,BLA_TOTL_2013,HIS_GRAD_2013,HIS_TOTL_2013,WHI_GRAD_2013,WHI_TOTL_2013
Aitkin County,,,6,,4,,3,,1,158,183,,6,,4,,0,,2,162,183,5,10,,2,,1,,5,165,198,,6,,3,,2,,4,150,175,,5,,2,,0,,2,132,162,,8,,3,,1,,3,170,195,,8,,2,,1,,1,147,176,5,14,,1,,1,,4,119,139,,7,,1,,3,,1,140,162,5,13,,0,,1,,3,124,158,,8,,1,,1,,0,119,152
Anoka County,MinneapolisStPaulBloomingtonMNWI,34,99,159,223,80,190,63,116,3376,4594,48,96,134,187,82,182,44,109,2929,3940,55,97,124,194,90,218,50,105,3033,3957,59,102,166,243,139,294,61,140,3029,3969,39,76,149,224,129,328,64,148,3063,3958,51,90,178,248,178,385,79,167,3132,4085,38,87,167,220,151,351,91,180,3013,3824,52,88,166,218,207,392,104,191,3020,3807,43,79,182,225,229,402,114,212,2971,3739,39,80,193,232,216,406,122,201,2881,3616,44,83,165,211,264,424,140,222,2848,3443
Becker County,,25,50,,8,,4,,4,322,415,23,45,,2,,3,5,10,326,392,26,45,,5,,5,,4,294,372,21,45,,4,,4,,2,268,346,21,43,,3,,0,,8,299,368,36,58,,8,,5,,2,277,335,33,45,,5,,5,,8,277,325,36,55,,6,,1,,7,274,306,25,39,,5,,2,,9,265,318,33,47,,2,,2,,3,261,297,25,36,,5,,4,,8,271,313
Beltrami County,,66,216,,6,,6,,8,374,537,74,220,,5,,3,,5,390,536,82,233,,5,,3,,8,347,466,71,221,,9,,7,,1,361,538,73,271,,6,,8,3,11,367,508,57,216,8,11,,8,,9,384,528,55,247,,4,,5,,9,362,475,69,235,,6,,8,,8,318,440,35,203,,3,,5,5,12,321,425,56,209,,5,9,13,,5,289,376,66,212,,6,7,10,,7,358,429
Benton County,StCloudMN,,0,,3,,2,,0,394,458,,1,,3,,2,,4,429,474,,1,,5,,2,,4,390,439,,0,,4,,4,,3,431,485,,1,,6,,0,,4,426,492,,2,,6,,7,,1,381,431,,5,7,10,,6,,5,388,449,,4,,8,,5,,9,354,407,,4,6,12,,8,,2,364,427,,5,,8,10,11,,7,401,447,,3,,7,7,11,,4,371,415
Big Stone County,,,3,,1,,0,,2,93,99,,1,,1,,0,,0,106,120,,1,,1,,0,,1,98,111,,1,,1,,0,,0,102,113,,1,,1,,0,,0,94,101,,0,,1,,0,,0,105,113,,4,,2,,0,,0,77,81,,2,,1,,0,,1,83,86,,1,,1,,0,,1,81,87,,2,,0,,0,,0,71,77,,1,,2,,0,,1,62,73
Blue Earth County,MankatoNorthMankatoMN,,2,19,25,10,18,7,11,701,877,,1,14,20,11,18,14,21,635,815,,1,8,12,22,39,14,22,671,813,,5,18,22,20,34,15,21,640,787,,1,13,17,24,40,12,25,665,775,,1,16,23,27,43,11,24,668,807,,1,17,25,19,42,20,33,597,746,,6,11,18,20,31,13,25,590,711,,2,18,24,25,41,16,30,579,678,,3,12,15,24,48,13,21,555,640,,3,23,25,38,56,15,24,586,663
Brown County,,,3,,4,,0,3,11,360,439,,2,,4,,2,9,17,362,414,,3,,7,,5,12,22,329,391,,2,,3,,1,9,20,336,404,,4,,3,,2,14,30,318,374,,3,,3,,4,8,19,284,340,,2,,6,,3,18,26,284,329,,2,,3,,3,11,34,272,325,,0,,6,,2,9,25,244,291,,0,10,10,,1,25,36,242,277,,0,,4,,0,12,24,232,267
Carlton County,DuluthMNWI,27,65,,4,,1,,6,417,497,33,73,,6,,2,,1,395,475,38,82,,7,,4,,4,428,507,42,73,,5,,4,,5,426,488,40,67,,8,,3,,8,402,478,19,46,,9,,2,,4,428,491,33,60,,9,,4,5,11,414,501,40,68,8,13,,3,,5,386,445,29,62,,7,,5,,9,391,455,40,68,7,11,,1,,3,358,415,46,76,,6,,5,,3,412,455
Carver County,MinneapolisStPaulBloomingtonMNWI,1,10,27,32,2,14,13,37,755,1108,3,11,22,34,7,22,12,43,827,1097,,8,19,28,9,20,25,43,878,1166,6,14,35,50,12,19,19,55,888,1130,6,16,30,44,16,37,26,72,928,1177,,7,30,41,16,34,31,67,930,1186,2,10,31,49,15,39,33,84,916,1126,,9,29,36,18,34,29,72,922,1110,1,14,26,37,14,36,30,69,941,1125,,8,34,43,26,37,30,58,898,1064,,6,34,37,22,34,36,67,973,1075
