countyName,metro,AIAN-Cont,AIAN-Drop,AIAN-Grad,AIAN-Unk,AIAN-Tot,API-Cont,API-Drop,API-Grad,API-Unk,API-Tot,BLA-Cont,BLA-Drop,BLA-Grad,BLA-Unk,BLA-Tot,H-Cont,H-Drop,H-Grad,H-Unk,H-Tot,W-Cont,W-Drop,W-Grad,W-Unk,W-Tot
Aitkin County,,,,,,0,,,,,0,,,,,0,,,,,0,17,6,119,10,152
Anoka County,MinneapolisStPaulBloomingtonMNWI,30,8,44,1,83,32,10,165,4,211,108,40,264,12,424,49,24,140,9,222,440,110,2848,45,3443
Becker County,,2,6,25,3,36,,,,,0,,,,,0,,,,,0,23,10,271,9,313
Beltrami County,,49,62,66,35,212,,,,,0,2,1,7,,10,,,,,0,33,15,358,23,429
Benton County,StCloudMN,,,,,0,,,,,0,2,1,7,1,11,,,,,0,21,5,371,18,415
Big Stone County,,,,,,0,,,,,0,,,,,0,,,,,0,7,1,62,3,73
Blue Earth County,MankatoNorthMankatoMN,,,,,0,1,,23,1,25,5,9,38,4,56,3,1,15,5,24,28,22,586,27,663
Brown County,,,,,,0,,,,,0,,,,,0,5,6,12,1,24,12,17,232,6,267
Carlton County,DuluthMNWI,14,14,46,2,76,,,,,0,,,,,0,,,,,0,18,13,412,12,455
Carver County,MinneapolisStPaulBloomingtonMNWI,,,,,0,1,1,34,1,37,7,2,22,3,34,24,5,36,2,67,57,21,973,24,1075
Cass County,,15,28,44,14,101,,,,,0,,,,,0,,,,,0,27,21,181,13,242
Chippewa County,,,,,,0,,,,,0,,,,,0,9,,11,4,24,20,1,160,8,189
Chisago County,MinneapolisStPaulBloomingtonMNWI,,,,,0,,,12,,12,,,,,0,2,,14,,16,53,32,518,14,617
Clay County,FargoNDMN,8,5,9,6,28,1,1,9,2,13,5,3,12,,20,8,4,17,7,36,38,32,501,29,600
Clearwater County,,5,3,15,1,24,,,,,0,,,,,0,,,,,0,10,5,63,2,80
Cook County,,,,,,0,,,,,0,,,,,0,,,,,0,,2,51,2,55
Cottonwood County,,,,,,0,1,,14,1,16,,,,,0,1,3,12,,16,3,3,124,5,135
Crow Wing County,,,,,,0,,,,,0,,,,,0,,,,,0,55,37,595,19,706
Dakota County,MinneapolisStPaulBloomingtonMNWI,5,4,19,1,29,26,16,266,6,314,104,32,329,14,479,87,47,248,17,399,288,104,4011,56,4459
Dodge County,RochesterMN,,,,,0,,,,,0,,,,,0,4,1,8,,13,8,3,233,5,249
Douglas County,,,,,,0,,,,,0,4,2,4,1,11,,,,,0,40,24,366,15,445
Faribault County,,,,,,0,,,,,0,,,,,0,4,,11,1,16,14,9,122,10,155
Fillmore County,RochesterMN,,,,,0,,,,,0,,,,,0,,,,,0,5,3,171,6,185
Freeborn County,,,,,,0,,,,,0,,,,,0,9,6,24,7,46,32,23,208,12,275
Goodhue County,,,,,,0,1,1,8,1,11,,3,11,,14,3,1,17,2,23,51,15,474,22,562
Grant County,,,,,,0,,,,,0,,,,,0,,,,,0,1,,70,1,72
Hennepin County,MinneapolisStPaulBloomingtonMNWI,73,37,93,31,234,163,36,942,53,1194,958,268,1582,215,3023,358,138,558,99,1153,832,251,6913,337,8333
Houston County,LaCrosseOnalaskaWIMN,,,,,0,,,,,0,4,7,7,1,19,6,4,6,2,18,63,74,325,20,482
Hubbard County,,5,4,3,,12,,,,,0,,,,,0,,,,,0,12,16,134,6,168
Isanti County,MinneapolisStPaulBloomingtonMNWI,6,1,4,,11,,,,,0,5,,7,,12,,,,,0,70,16,344,17,447
Itasca County,,7,9,44,8,68,,,,,0,,,,,0,3,,11,,14,38,17,401,19,475
Jackson County,,,,,,0,,,,,0,,,,,0,,,,,0,2,3,99,2,106
Kanabec County,,,,,,0,,,,,0,,,,,0,,,,,0,12,9,147,4,172
Kandiyohi County,,,,,,0,,,,,0,11,2,21,3,37,15,27,39,8,89,24,23,276,4,327
Kittson County,,,,,,0,,,,,0,,,,,0,,,,,0,,,58,2,60
Koochiching County,,2,1,9,,12,,,,,0,,,,,0,,,,,0,2,5,133,12,152
Lac Qui Parle County,,,,,,0,,,,,0,,,,,0,,,,,0,3,1,94,2,100
Lake County,,,,,,0,,,,,0,,,,,0,,,,,0,7,7,96,4,114
Lake of the Woods County,,,,,,0,,,,,0,,,,,0,,,,,0,1,4,35,,40
