regionName,AIAN-Cont,AIAN-Drop,AIAN-Grad,AIAN-Unk,AIAN-Tot,API-Cont,API-Drop,API-Grad,API-Unk,API-Tot,BLA-Cont,BLA-Drop,BLA-Grad,BLA-Unk,BLA-Tot,H-Cont,H-Drop,H-Grad,H-Unk,H-Tot,W-Cont,W-Drop,W-Grad,W-Unk,W-Tot
DuluthMNWI,36,32,101,12,181,2,4,26,3,35,28,17,39,9,93,3,2,22,4,31,160,119,1910,100,2289
FargoNDMN,8,5,9,6,28,1,1,9,2,13,5,3,12,,20,8,4,17,7,36,38,32,501,29,600
GrandForksNDMN,2,1,10,3,16,,,,,0,,,,,0,2,6,24,4,36,15,16,314,9,354
LaCrosseOnalaskaWIMN,,,,,0,,,,,0,4,7,7,1,19,6,4,6,2,18,63,74,325,20,482
MankatoNorthMankatoMN,,,,,0,1,,23,1,25,8,9,46,4,67,3,1,15,5,24,40,30,740,31,841
MinneapolisStPaulBloomingtonMNWI,165,87,258,42,552,474,176,2933,138,3721,1564,478,3155,312,5509,665,320,1604,175,2764,2677,953,25179,745,29554
RochesterMN,5,,6,1,12,18,5,114,2,139,49,17,105,9,180,28,13,50,7,98,155,67,1869,41,2132
StCloudMN,2,,7,1,10,7,3,26,4,40,46,15,93,10,164,16,5,39,5,65,159,49,1771,56,2035
Metro,218,125,391,65,799,503,189,3131,150,3973,1704,546,3457,345,6052,731,355,1777,209,3072,3307,1340,32609,1031,38287
NonMetro,96,139,272,68,575,22,16,136,13,187,45,20,145,14,224,131,104,467,59,761,842,537,11160,502,13041
